text,type,label,language,source,english_translation,has_urgency,has_shortened_url
"Subject: আপনি ১ লাখ টাকা জিতেছেন!

আপনার মোবাইল নম্বরে সমস্যা। সিকিউরিটি চেক করুন: https://www.ruiz.net/",email,1,mixed,simulated_phish_email,"Subject: আপনি ১ লাখ টাকা জিতেছেন!

আপনার মোবাইল নম্বরে সমস্যা। সিকিউরিটি চেক করুন: https://www.ruiz.net/",0,0
আপনার পার্সেল ট্র্যাকিং নম্বর: PK14165 – Pathao,sms,0,bn,simulated_legit_sms,আপনার পার্সেল ট্র্যাকিং নম্বর: PK14165 – Pathao,0,0
অবিলম্বে আপনার পাসওয়ার্ড রিসেট করুন! https://bkash-login-verify.net/update,sms,1,bn,simulated_phish_sms,অবিলম্বে আপনার পাসওয়ার্ড রিসেট করুন! https://bkash-login-verify.net/update,0,0
"Subject: আপনার অর্ডার নিশ্চিত হয়েছে

আপনার অর্ডার #9928 সফলভাবে পেমেন্ট হয়েছে।",email,0,mixed,simulated_legit_email,"Subject: আপনার অর্ডার নিশ্চিত হয়েছে

আপনার অর্ডার #9928 সফলভাবে পেমেন্ট হয়েছে।",0,0
Eid স্পেশাল গিফট পেয়েছেন! ক্লেইম করতে ক্লিক করুন: https://bkash-login-verify.net/update,sms,1,bn,simulated_phish_sms,Eid স্পেশাল গিফট পেয়েছেন! ক্লেইম করতে ক্লিক করুন: https://bkash-login-verify.net/update,0,0
"Subject: আপনি ১ লাখ টাকা জিতেছেন!

আপনার ব্যাংক অ্যাকাউন্ট লক হচ্ছে ২৪ ঘন্টার মধ্যে! যাচাই: https://vance-gibson.com/",email,1,mixed,simulated_phish_email,"Subject: আপনি ১ লাখ টাকা জিতেছেন!

আপনার ব্যাংক অ্যাকাউন্ট লক হচ্ছে ২৪ ঘন্টার মধ্যে! যাচাই: https://vance-gibson.com/",0,0
আপনার ব্যাংক অ্যাকাউন্ট লক হচ্ছে ২৪ ঘন্টার মধ্যে! যাচাই: https://nagad-gov.bd/claim-prize,sms,1,bn,simulated_phish_sms,আপনার ব্যাংক অ্যাকাউন্ট লক হচ্ছে ২৪ ঘন্টার মধ্যে! যাচাই: https://nagad-gov.bd/claim-prize,0,0
আপনার ব্যাংক অ্যাকাউন্ট লক হচ্ছে ২৪ ঘন্টার মধ্যে! যাচাই: https://rocket-banking.online/secure,sms,1,bn,simulated_phish_sms,আপনার ব্যাংক অ্যাকাউন্ট লক হচ্ছে ২৪ ঘন্টার মধ্যে! যাচাই: https://rocket-banking.online/secure,0,0
https://nagad-gov.bd/claim-prize,url,1,en,simulated_phish_url,https://nagad-gov.bd/claim-prize,0,0
https://rocket-banking.online/secure,url,1,en,simulated_phish_url,https://rocket-banking.online/secure,0,0
https://www.bkashh.com/login,url,1,en,simulated_phish_url,https://www.bkashh.com/login,0,0
"Subject: আপনার অর্ডার নিশ্চিত হয়েছে

আপনার অর্ডার #1750 সফলভাবে পেমেন্ট হয়েছে।",email,0,mixed,simulated_legit_email,"Subject: আপনার অর্ডার নিশ্চিত হয়েছে

আপনার অর্ডার #1750 সফলভাবে পেমেন্ট হয়েছে।",0,0
