text,type,label,language,source,english_translation,has_urgency,has_shortened_url
"Subject: আপনার অর্ডার নিশ্চিত হয়েছে

আপনার অর্ডার #7637 সফলভাবে পেমেন্ট হয়েছে।",email,0,mixed,simulated_legit_email,"Subject: আপনার অর্ডার নিশ্চিত হয়েছে

আপনার অর্ডার #7637 সফলভাবে পেমেন্ট হয়েছে।",0,0
"Subject: জরুরি! অ্যাকাউন্ট যাচাই করুন

অবিলম্বে আপনার পাসওয়ার্ড রিসেট করুন! https://jones.com/",email,1,mixed,simulated_phish_email,"Subject: জরুরি! অ্যাকাউন্ট যাচাই করুন

অবিলম্বে আপনার পাসওয়ার্ড রিসেট করুন! https://jones.com/",0,0
আপনার রিচার্জ সফল হয়েছে। ব্যালেন্স: 6480 টাকা।,sms,0,bn,simulated_legit_sms,আপনার রিচার্জ সফল হয়েছে। ব্যালেন্স: 6480 টাকা।,0,0
https://rocket-banking.online/secure,url,1,en,simulated_phish_url,https://rocket-banking.online/secure,0,0
"অভিনন্দন! আপনি ৫০,০০০ টাকা জিতেছেন। দাবি করুন: https://nagaad-prizeclaim.com (আজই শেষ!)",sms,1,bn,simulated_phish_sms,"অভিনন্দন! আপনি ৫০,০০০ টাকা জিতেছেন। দাবি করুন: https://nagaad-prizeclaim.com (আজই শেষ!)",1,0
আপনার মোবাইল নম্বরে সমস্যা। সিকিউরিটি চেক করুন: https://dbbl-bank.security-check.com/login,sms,1,bn,simulated_phish_sms,আপনার মোবাইল নম্বরে সমস্যা। সিকিউরিটি চেক করুন: https://dbbl-bank.security-check.com/login,0,0
"Subject: জরুরি! অ্যাকাউন্ট যাচাই করুন

Nagad থেকে জরুরি: আপনার পেমেন্ট ব্লক হয়েছে। আপডেট করুন: http://www.jenkins.com/",email,1,mixed,simulated_phish_email,"Subject: জরুরি! অ্যাকাউন্ট যাচাই করুন

Nagad থেকে জরুরি: আপনার পেমেন্ট ব্লক হয়েছে। আপডেট করুন: http://www.jenkins.com/",1,0
"Subject: জরুরি! অ্যাকাউন্ট যাচাই করুন

আপনার DBBL/Rocket অ্যাকাউন্টে অস্বাভাবিক লেনদেন। চেক করুন: https://harding-sosa.com/",email,1,mixed,simulated_phish_email,"Subject: জরুরি! অ্যাকাউন্ট যাচাই করুন

আপনার DBBL/Rocket অ্যাকাউন্টে অস্বাভাবিক লেনদেন। চেক করুন: https://harding-sosa.com/",0,0
https://gov-bd-verify.net/update,url,1,en,simulated_phish_url,https://gov-bd-verify.net/update,0,0
আপনার মোবাইল নম্বরে সমস্যা। সিকিউরিটি চেক করুন: https://bkash-login-verify.net/update,sms,1,bn,simulated_phish_sms,আপনার মোবাইল নম্বরে সমস্যা। সিকিউরিটি চেক করুন: https://bkash-login-verify.net/update,0,0
"Subject: আপনি ১ লাখ টাকা জিতেছেন!

চাকরির ইন্টারভিউ কল পেয়েছেন! বিস্তারিত: http://fitzgerald.net/",email,1,mixed,simulated_phish_email,"Subject: আপনি ১ লাখ টাকা জিতেছেন!

চাকরির ইন্টারভিউ কল পেয়েছেন! বিস্তারিত: http://fitzgerald.net/",0,0
আপনার bKash অ্যাকাউন্ট সাসপেন্ড! এখনই যাচাই করুন নইলে টাকা হারাবেন: https://bkash-login-verify.net/update,sms,1,bn,simulated_phish_sms,আপনার bKash অ্যাকাউন্ট সাসপেন্ড! এখনই যাচাই করুন নইলে টাকা হারাবেন: https://bkash-login-verify.net/update,1,0
https://rocket-banking.online/secure,url,1,en,simulated_phish_url,https://rocket-banking.online/secure,0,0
https://dbbl-bank.security-check.com/login,url,1,en,simulated_phish_url,https://dbbl-bank.security-check.com/login,0,0
আপনার পুরস্কার অপেক্ষা করছে – এখনই ক্লিক করুন: https://nagad-gov.bd/claim-prize,sms,1,bn,simulated_phish_sms,আপনার পুরস্কার অপেক্ষা করছে – এখনই ক্লিক করুন: https://nagad-gov.bd/claim-prize,1,0
"Subject: জরুরি! অ্যাকাউন্ট যাচাই করুন

অবিলম্বে আপনার পাসওয়ার্ড রিসেট করুন! https://perkins.biz/",email,1,mixed,simulated_phish_email,"Subject: জরুরি! অ্যাকাউন্ট যাচাই করুন

অবিলম্বে আপনার পাসওয়ার্ড রিসেট করুন! https://perkins.biz/",0,0
আপনার OTP: 733561 – কাউকে শেয়ার করবেন না।,sms,0,bn,simulated_legit_sms,আপনার OTP: 733561 – কাউকে শেয়ার করবেন না।,0,0
https://bkaash.app/verify-account,url,1,en,simulated_phish_url,https://bkaash.app/verify-account,0,0
